Species,Taxon ID
Alces alces alces,9853
Vombatus ursinus,29139
Emergomyces africanus,1955775
Oceanobacillus iheyensis HTE831,221109
Spinacia oleracea,3562
Exserohilum turcica Et28A,671987
Nasturtium officinale,65948
Haplochromis burtoni,8153
Ophiocordyceps camponoti-saundersi (nom. inval.),2039874
Clostridium botulinum E3 str. Alaska E43,508767
Mycolicibacterium smegmatis MC2 155,246196
Ornithorhynchus anatinus,9258
Candidatus Thorarchaeota archaeon,2053491
Xenorhabdus szentirmaii DSM 16338,290112
Cryptomonas curvata,233186
Staphylococcus aureus subsp. aureus MW2,196620
Clostridiales bacterium,1111133
Oncorhynchus masou,90313
Rhodnius neglectus,72488
Puccinia sorghi,27349
Alouatta sara,121123
Sphingomonas gellani,1166340
unclassified,12908
Pyricularia oryzae Y34,1143189
Plasmodium malariae,3075684
Ctenopharyngodon idella,7959
Abditibacterium utsteinense,1960156
Micropterus salmoides,489037
Octopus vulgaris,6645
Atropa belladonna,33113
Mucilaginibacter pedocola,1792845
Streptomyces sp. SID12501,2706042
Neisseria gonorrhoeae NCCP11945,521006
Paroedura picta,143630
Geospiza fortis,48883
Histoplasma capsulatum H143,544712
Clostridium sp. CAG:590,
Acyrthosiphon pisum,118099
Dispholidus typus,46295
Fusarium graminearum PH-1,229533
Triticum urartu,4572
Anaerobiospirillum thomasii,179995
Phycisphaerae bacterium,2026778
Streptomyces chromofuscus,42881
Plasmodium falciparum Dd2,57267
Leptocylindrus danicus,163516
Hydrogenophaga sp. BPS33,2651974
Synechococcus sp. CC9902,316279
Shigella dysenteriae Sd197,300267
Pasteurella multocida subsp. multocida str. Pm70,272843
Hapalemur griseus,122219
Dicaeum eximium,667154
Methanosarcinales archaeon ANME-2c ERB4,2759911
Chlamydomonas reinhardtii,3055
Oryza sativa Indica Group,39946
Golden shiner reovirus,185783
Kandelia obovata,413952
Borreliella burgdorferi ZS7,445985
Lithobates pipiens,8404
Bacillus sp. 2_A_57_CT2,665959
Cucumis sativus,3659
Corythaixoides concolor,103956
Mycolicibacterium duvalii,39688
Campylobacter fetus subsp. fetus 82-40,360106
Crotalus adamanteus,8729
Peptococcaceae bacterium,1487582
Ateles geoffroyi,183327
